img cs-avg cs-std h-avg h-std l-avg l-std shsl-avg shsl-std shsv-avg shsv-std v-avg v-std
nirp_canaletto_twcms_c7370 47.177227 27.525806 42.725239 21.381230 156.612733 78.282265 145.660121 76.356706 94.707270 77.244744 180.207520 74.418416
nirp_canaletto_va_pc_2006bh7594 48.479938 27.228109 64.570851 49.786127 113.349955 76.322593 131.280848 69.697318 120.854414 76.335129 137.598959 80.750400
nirp_canaletto_va_pc_2007bn4503b 55.274091 30.272231 38.133945 20.449689 113.881097 64.721908 133.275237 85.012647 125.987244 75.000960 141.508947 71.323139
nirp_canaletto_va_pc_2007bn5794 91.286097 53.910877 52.562175 34.431821 123.257428 72.722604 198.696385 59.819995 165.982923 82.015967 168.850466 80.806781
nirp_canaletto_va_pc_2007bn6092 96.590949 43.331100 31.318525 15.261609 92.686239 59.540720 206.409021 62.824201 199.080402 66.300684 140.878505 70.785166
nirp_canaletto_watmc_2004_361 76.080167 37.110130 36.199495 12.320967 113.430014 60.590735 149.986569 69.658606 149.617317 70.034208 151.463751 67.404711
nirp_caravaggio_1_32 43.513711 48.481573 27.036767 11.623648 34.434087 49.150544 226.632739 41.824230 229.692163 39.147138 56.082333 72.273851
nirp_caravaggio_1872_1_3 12.756617 14.661601 52.302286 39.706595 33.675946 37.038555 79.236369 71.088248 102.655383 70.542608 40.020920 41.086286
nirp_caravaggio_1962_139_1 35.571762 31.038772 143.287846 86.281317 65.464013 50.994502 106.990086 73.452640 127.329084 63.542098 83.248764 62.059938
nirp_caravaggio_batvg_p_1919_5 37.978845 37.621994 33.615392 46.186761 46.948720 47.065764 143.140072 76.094213 163.676094 65.655003 65.898217 62.139818
nirp_caravaggio_b-m-818 32.151509 39.645570 32.145748 37.777413 52.791819 58.478650 99.493962 77.000544 116.756400 75.694934 68.845115 72.623967
nirp_caravaggio_bolmg_1999_127 35.217689 45.453842 129.691557 86.601665 62.912950 56.363283 90.099055 70.329858 107.229018 59.391590 80.520306 72.640059
nirp_caravaggio_som_hm_a224 19.305051 11.740756 127.666403 71.488522 74.084551 96.848594 134.259000 86.106600 153.624923 91.900643 83.793659 92.037066
nirp_caravaggio_stigm_8024 15.964470 26.309266 136.461008 65.448703 27.766672 53.909020 154.540819 74.231347 172.868515 68.252481 35.689063 63.089772
nirp_carlevariis_mnemg_00_1873_37 39.489025 34.543672 104.818020 41.464869 62.918392 58.017419 114.450608 66.538076 135.871715 65.927233 82.681641 67.374505
nirp_carlevariis_mnemg_00_1873_38 61.253810 35.735216 115.286187 33.356346 88.237997 62.423705 144.322730 75.977450 152.794914 79.656689 118.861165 65.015071
nirp_carlevariis_va_pc_2006be8919 110.520693 34.477204 32.955720 12.613252 76.615125 43.820499 225.552936 49.614789 225.393145 50.470915 131.731816 53.254279
nirp_carlevariis_va_pc_2006be8920 50.162585 40.163799 69.875573 26.035452 58.038158 45.157585 137.367025 64.682279 166.209655 56.436863 83.143961 61.329948
nirp_carlevariis_va_pc_2006be8921 124.321746 51.086577 36.469874 7.909517 76.650071 35.444110 219.813564 48.487300 228.969637 41.902662 138.716149 57.499998
nirp_carlevariis_va_pc_2006bh7385 67.470955 58.244012 86.041883 107.787518 72.402415 46.888944 140.263224 81.479148 160.137268 71.860967 106.112760 64.398467
nirp_carlevariis_va_pc_2006bh7386 79.913660 41.931650 18.076253 27.046389 77.820510 54.551018 185.505057 68.919779 190.570350 59.018007 117.703723 69.841400
nirp_carlevariis_va_pc_2006bh7387 53.004953 26.170657 89.615827 57.947790 120.247234 48.950484 88.139761 57.936322 107.299861 60.194405 146.800514 49.252097
nirp_carlevariis_va_pc_2006bh7446 90.227323 49.523842 20.247140 10.688494 65.634595 44.844375 212.408036 58.562473 220.020325 50.551993 110.636014 63.262406
nirp_carlevariis_va_pc_2006bh7447 135.791224 40.167816 12.739767 8.009596 83.202606 37.026528 234.526250 40.566707 235.126953 39.003996 150.941970 50.643833
nirp_carlevariis_va_pc_2006bh7849 50.727490 28.888114 57.215441 33.166335 77.456070 58.198433 153.055172 95.516851 160.579171 93.671326 102.756390 53.741874
nirp_carlevariis_va_pc_2006bh7851 45.227378 30.498218 92.065224 72.330230 99.464465 59.028455 111.626695 94.639291 117.981671 93.471941 122.057647 52.315459
nirp_carlevariis_va_pc_2006bh7853 54.685146 30.219200 65.273139 50.644955 97.712899 55.119139 104.741758 58.959900 125.986121 54.286308 125.040828 66.101769
nirp_carlevariis_va_pc_2006bh7854 55.934562 46.272944 72.055713 41.002021 80.121121 53.752889 117.961689 68.867855 140.082636 60.296507 108.045307 72.060296
nirp_carlevariis_va_pc_2006bh7855 49.062698 39.515560 67.427271 44.618682 67.967799 52.066576 121.323453 65.938717 147.108574 62.949921 92.504078 64.859771
nirp_carlevariis_va_pc_2006bh7856 39.882820 25.269679 78.620534 46.548145 61.791028 47.178845 119.735685 66.753018 148.031557 60.184624 81.728453 54.997320
nirp_carlevariis_va_pc_2006bh7857 47.015043 35.869646 76.920516 50.668971 64.852941 48.985482 122.568135 65.960782 151.122684 58.861645 88.343419 62.397056
nirp_carlevariis_va_pc_2007bn4167 134.699212 39.340690 22.924834 8.622438 120.972714 54.843759 223.266281 43.042052 196.425460 45.969342 188.215759 69.900029
nirp_carlevariis_va_pc_2007bn4168 124.555599 43.990042 20.689472 5.961569 81.165598 36.696370 217.737300 50.260457 224.881615 44.645057 143.343558 51.633835
nirp_carlevariis_va_pc_2007bn4169 151.384129 54.798764 19.481386 5.723890 117.770453 52.239787 230.981133 36.330313 208.229340 40.596052 193.372997 74.385625
nirp_carlevariis_va_pc_2007bn4171 134.332492 75.314490 24.147796 9.277462 119.195199 58.527914 207.275668 74.042923 178.821698 48.613819 186.238355 93.000760
nirp_carlevariis_va_pc_2007bn4172 130.876951 70.508430 21.092938 7.413727 99.797153 43.679770 188.456395 68.065324 197.182929 56.242816 165.195980 71.021323
nirp_carlevariis_va_pc_2007bn4173 105.472034 71.916141 22.304024 10.286036 89.336891 59.031031 194.645630 71.013496 191.940314 57.568816 142.003424 90.135399
nirp_carlevariis_va_pc_2007bn4174 143.147838 70.745809 20.773078 6.778085 100.370523 53.597688 233.289419 41.976571 219.719974 35.890964 171.783280 85.635515
nirp_carlevariis_va_pc_2007bn4175 136.660380 56.456658 15.644073 6.699006 105.810179 52.379216 214.583609 39.379477 210.946764 40.343504 174.099876 75.243059
nirp_carlevariis_va_pc_2007bn4176 136.021540 60.457831 19.063220 5.886753 90.276415 45.562065 223.201771 47.641978 224.309642 44.937383 158.189771 69.699047
nirp_carlevariis_va_pc_2007bn4177 169.250361 64.309053 15.662758 7.249087 99.528519 41.937741 242.200696 27.738100 237.994779 31.248753 183.995944 69.414268
nirp_carlevariis_va_pc_2007bn4178 90.527118 26.719869 17.429356 8.292139 56.757628 30.483157 228.928705 40.788751 236.119153 34.491157 101.874497 38.449994
nirp_carlevariis_va_pc_2007bn4179 36.199419 22.171233 27.526173 8.063503 97.239276 92.913296 161.874654 73.123190 125.037610 66.872360 115.316426 100.085518
nirp_carlevariis_va_pc_2007bn4180 114.304322 80.459236 22.072579 7.478803 95.764786 57.084728 186.248438 77.036406 181.773768 51.486978 152.834977 94.585192
nirp_carlevariis_va_pc_2007bn4181 65.812994 28.704290 18.153508 8.281244 68.082508 38.513683 157.455369 69.293325 181.780597 55.407429 100.947003 46.594129
nirp_carlevariis_va_pc_2007bn4182 75.638241 34.791374 21.835610 7.852526 70.924733 44.523964 168.057722 49.615948 189.566814 42.663226 108.725464 58.155206
nirp_carlevariis_va_pc_2007bn4183 232.011160 44.385431 10.952608 10.674171 122.773264 24.403103 254.736269 4.848767 248.611802 19.565134 238.380442 42.327972
nirp_carlevariis_va_pc_2007bn4184 133.665775 67.895534 17.854560 9.367578 104.721316 52.131143 197.848565 52.717551 199.334048 41.078246 171.533082 82.853817
nirp_carlevariis_va_pc_2007bn4185 154.400652 100.820058 29.980365 36.158110 99.939220 50.648569 195.534339 91.155111 193.507007 78.553258 177.005995 97.252110
nirp_carlevariis_va_pc_2007bn4186 124.760119 66.512475 11.644611 8.163307 80.670524 41.099591 216.830496 49.973038 224.854489 39.818906 142.925939 68.345282
nirp_carlevariis_va_pc_2007bn4187 212.159076 60.171894 16.556178 9.994147 119.463141 32.233919 245.833924 32.018180 238.640054 33.907281 225.264369 56.904028
nirp_carlevariis_va_pc_2007bn4188 119.562897 38.063209 20.212370 8.280463 108.675651 42.248444 179.075821 62.453977 186.442224 58.939961 168.446321 45.906826
nirp_carlevariis_va_pc_2007bn4189 127.721616 78.432515 20.518788 8.919095 110.551342 62.578347 203.439371 68.572073 183.517726 46.796128 174.337855 99.123847
nirp_carlevariis_va_pc_2007bn4190 156.577470 42.404912 19.236199 6.903325 98.088816 39.758538 238.505628 29.556785 232.122761 34.973285 176.253557 55.981562
