img nofilter-cs60 nofilter-cs40 nofilter-cs20 nofilter-h60 nofilter-h40 nofilter-h20 nofilter-l60 nofilter-l40 nofilter-l20 nofilter-shsv60 nofilter-shsv40 nofilter-shsv20 nofilter-shsl60 nofilter-shsl40 nofilter-shsl20 nofilter-v60 nofilter-v40 nofilter-v20 sobel-cs60 sobel-cs40 sobel-cs20 sobel-h60 sobel-h40 sobel-h20 sobel-l60 sobel-l40 sobel-l20 sobel-shsv60 sobel-shsv40 sobel-shsv20 sobel-shsl60 sobel-shsl40 sobel-shsl20 sobel-v60 sobel-v40 sobel-v20 canny-cs60 canny-cs40 canny-cs20 canny-h60 canny-h40 canny-h20 canny-l60 canny-l40 canny-l20 canny-shsv60 canny-shsv40 canny-shsv20 canny-shsl60 canny-shsl40 canny-shsl20 canny-v60 canny-v40 canny-v20
nirp_berchem_eu_703 12.451 16.801 27.634 17.340 25.188 46.775 9.189 12.580 21.601 4.638 6.018 9.387 6.545 8.568 13.673 8.519 11.502 19.134 8.740 11.971 20.743 21.445 31.359 54.959 8.935 12.564 22.560 5.209 7.112 12.162 7.545 10.460 18.268 8.571 11.904 21.058 3.744 4.579 6.709 13.726 16.687 23.829 3.347 4.080 5.951 2.060 2.463 3.528 2.611 3.125 4.476 2.988 3.631 5.291
nirp_berchem_eu_734 27.826 44.046 95.441 16.486 24.683 46.003 9.298 13.065 23.186 4.540 5.871 9.254 6.489 8.518 13.707 9.060 12.666 22.402 6.626 9.256 16.573 20.104 29.865 53.443 10.740 15.368 28.002 5.230 7.025 11.845 7.404 10.055 16.895 10.519 15.059 27.697 49.702 59.370 79.228 10.978 13.264 18.807 4.312 5.237 7.576 2.423 2.900 4.150 3.906 4.673 6.640 4.124 5.003 7.253
nirp_berchem_hasmg_960_53 14.174 19.779 34.030 10.096 13.682 23.125 5.072 6.612 10.722 3.179 4.066 6.345 3.492 4.487 6.963 4.966 6.447 10.336 9.931 14.067 26.184 12.101 16.705 28.190 5.505 7.733 13.821 3.684 4.922 8.302 4.113 5.586 9.688 5.449 7.638 13.555 4.411 5.414 7.936 5.150 6.304 9.132 1.918 2.280 3.243 1.919 2.275 3.228 1.890 2.239 3.175 1.920 2.284 3.250
nirp_berchem_k1090 14.700 20.363 34.149 18.968 27.352 50.486 10.778 14.327 24.289 6.146 7.887 12.024 7.669 9.925 15.534 9.795 12.962 21.385 9.188 12.752 23.291 25.881 38.892 74.782 9.653 13.584 24.614 6.498 8.618 14.130 8.394 11.394 19.484 8.788 12.160 21.800 4.501 5.553 8.159 13.712 16.646 23.721 3.420 4.168 6.107 2.406 2.908 4.218 2.617 3.175 4.605 2.784 3.400 4.975
nirp_berchem_k2402 19.917 27.408 46.687 6.165 7.886 12.045 8.009 10.731 18.096 6.609 8.625 13.627 7.657 10.140 16.378 7.845 10.485 17.517 11.670 16.400 30.130 6.615 8.333 12.111 7.586 10.479 18.390 7.521 10.347 17.566 7.287 10.075 17.624 7.816 10.796 19.042 7.744 9.442 13.790 5.731 7.041 10.206 2.678 3.253 4.748 2.802 3.367 4.848 2.710 3.267 4.713 2.606 3.170 4.632
nirp_berchem_leamg_a386_1953 19.227 26.282 43.520 10.161 13.408 21.681 8.626 11.722 19.951 5.101 6.650 10.522 6.145 8.052 12.837 8.348 11.276 18.833 9.617 13.411 24.122 11.430 14.952 22.570 8.884 12.592 22.889 5.834 7.939 13.531 7.201 9.976 17.640 8.796 12.409 22.217 8.183 9.997 14.556 9.707 11.801 16.812 2.999 3.655 5.345 2.232 2.672 3.844 2.385 2.856 4.108 2.831 3.457 5.059
nirp_berchem_ncm_1953_104 15.546 21.389 34.683 5.289 6.692 10.424 8.200 11.191 19.153 3.855 4.933 7.636 4.216 5.432 8.465 7.860 10.637 17.824 10.785 15.003 27.183 5.900 7.582 11.529 8.705 12.192 21.717 4.499 5.931 9.726 4.935 6.582 10.955 8.415 11.679 20.410 4.908 6.025 8.789 4.544 5.511 7.945 3.438 4.157 6.012 2.545 3.033 4.306 2.483 2.962 4.216 3.328 4.024 5.841
nirp_berchem_ntsb13 29.377 41.856 76.442 7.905 10.549 17.103 14.808 20.131 34.084 5.802 7.482 11.417 6.565 8.475 13.055 14.613 19.756 33.215 7.770 10.657 18.853 8.874 11.828 18.759 12.463 17.934 33.695 6.402 8.461 13.763 7.543 10.112 16.715 12.288 17.564 32.617 24.045 29.117 40.384 4.350 5.326 7.766 5.858 7.183 10.432 2.405 2.912 4.248 2.733 3.295 4.780 5.611 6.873 9.987
nirp_berchem_nwhcm_1991_1_1_f 8.912 12.345 22.086 18.643 28.197 54.734 6.490 8.864 16.055 4.553 5.914 9.389 4.725 6.210 10.201 6.389 8.518 14.447 7.590 10.745 20.064 24.538 36.723 64.977 6.007 8.628 16.291 5.358 7.336 12.761 5.809 8.198 15.106 6.827 9.729 18.147 2.710 3.287 4.777 21.271 25.514 35.516 2.209 2.638 3.761 2.455 2.917 4.125 2.060 2.452 3.489 2.282 2.709 3.843
nirp_berchem_op31 12.833 17.783 30.805 36.242 58.608 117.056 10.667 15.098 28.266 6.164 8.062 12.880 7.351 9.791 16.398 9.754 13.458 23.701 9.536 13.430 24.800 36.507 59.799 118.163 9.888 14.467 28.712 7.015 9.717 17.101 8.889 12.674 24.142 9.355 13.319 25.158 4.496 5.501 8.015 34.492 40.896 55.941 4.058 4.950 7.212 2.418 2.898 4.151 2.562 3.083 4.435 3.349 4.084 5.988
