img r3-cs-avg r3-cs-std r3-h-avg r3-h-std r3-l-avg r3-l-std r3-shsl-avg r3-shsl-std r3-shsv-avg r3-shsv-std r3-v-avg r3-v-std
nirp_canaletto_va_pc_2007bn6092 82.354848 33.142140 23.019023 8.599588 54.954029 42.258209 237.196297 34.362991 236.785607 37.007059 95.962852 56.134656
nirp_canaletto_watmc_2004_361 101.179158 29.261550 30.170008 5.213178 103.309945 40.704877 159.053459 56.655489 179.223557 52.137105 153.895973 46.086403
nirp_caravaggio_1_32 88.302391 58.177310 26.151947 8.176936 74.513278 61.666334 215.029770 42.035738 212.270818 37.777380 118.606285 89.491705
nirp_caravaggio_1872_1_3 11.011298 13.655008 51.370102 28.893502 40.469621 41.454251 47.586779 46.041105 67.018720 44.883644 45.978155 45.850401
nirp_caravaggio_1962_139_1 58.917431 43.668790 85.397770 95.452424 119.996314 63.274772 112.678325 76.407220 99.883744 45.155404 149.446143 75.959887
nirp_caravaggio_batvg_p_1919_5 35.210261 32.574721 24.596660 25.854745 34.300342 29.396627 140.747146 48.672055 175.353779 40.864191 51.950469 44.859257
nirp_caravaggio_b-m-818 23.233293 29.901712 29.264539 21.756993 29.969025 46.019601 124.353040 68.291492 150.188019 62.789908 41.521704 60.075075
nirp_caravaggio_bolmg_1999_127 52.602867 35.751355 76.439815 93.312313 95.449373 58.621428 107.821207 71.202946 109.398746 39.072171 121.722879 70.329811
nirp_caravaggio_som_hm_a224 28.078979 7.796086 149.754904 61.918205 37.767143 18.212741 110.649259 43.107516 149.325664 42.594869 51.875997 20.159017
nirp_caravaggio_stigm_8024 20.320124 33.607386 126.729484 72.192624 28.151396 54.971021 168.857450 72.450181 183.563176 64.988234 38.240183 67.340698
nirp_carlevariis_mnemg_00_1873_37 53.188936 29.176517 111.228876 33.268321 106.819490 62.279448 109.064348 60.825035 119.091274 63.718947 133.439970 65.472206
nirp_carlevariis_mnemg_00_1873_38 40.090657 20.372531 109.011302 33.948763 171.843400 63.222933 114.723538 69.355067 61.836317 40.808073 191.920675 63.690303
nirp_carlevariis_va_pc_2006be8919 118.706190 25.491490 25.977434 9.205800 130.508293 52.239709 196.286779 51.924159 171.440294 54.562592 189.820162 53.119661
nirp_carlevariis_va_pc_2006be8920 20.308640 17.460665 91.043276 11.979464 32.631165 36.550254 137.401683 80.671843 164.442825 67.804562 42.801082 44.409784
nirp_carlevariis_va_pc_2006be8921 132.511647 42.535284 37.582581 3.041091 75.309648 28.515657 235.502558 30.681375 241.564283 23.520244 141.440773 47.097992
nirp_carlevariis_va_pc_2006bh7385 114.325363 62.305256 169.218876 110.964018 98.971086 47.554484 187.417199 80.230349 188.267326 76.352493 156.063610 58.768364
nirp_carlevariis_va_pc_2006bh7386 131.606989 36.335970 20.442563 12.715729 124.984319 45.967070 195.496924 49.721936 182.452509 36.072916 190.758602 59.930405
nirp_carlevariis_va_pc_2006bh7387 37.293731 10.981188 134.633099 18.482587 107.655227 54.526919 85.272233 69.388809 101.422687 66.334103 126.338978 53.749723
nirp_carlevariis_va_pc_2006bh7446 113.555285 48.711086 18.736382 10.601464 99.090849 55.823844 204.536766 54.997583 200.744679 59.497326 155.801467 66.796961
nirp_carlevariis_va_pc_2006bh7447 139.357335 42.984499 17.815484 10.111056 92.103327 44.203995 235.754158 32.776713 229.437837 35.443374 161.635336 61.165651
nirp_carlevariis_va_pc_2006bh7849 33.291877 18.387494 76.527217 19.041856 111.210887 63.050938 95.627253 84.213018 102.841114 88.253269 127.878695 59.116791
nirp_carlevariis_va_pc_2006bh7851 28.856325 12.499355 137.337620 60.827264 144.491307 51.110556 58.838699 50.101733 56.140917 42.062208 158.979646 48.395944
