img itct-sat-sl-r3 itct-sat-sl-r7 itct-sat-sl-sg itct-sat-sv-r3 itct-sat-sv-r7 itct-sat-sv-sg itct-lightdark-l-r3 itct-lightdark-l-r7 itct-lightdark-l-sg itct-lightdark-v-r3 itct-lightdark-v-r7 itct-lightdark-v-sg itct-hue-h-r3 itct-hue-h-r7 itct-hue-h-sg itct-hue-cs-r3 itct-hue-cs-r7 itct-hue-cs-sg itct-warmcold-h-r3 itct-warmcold-h-r7 itct-warmcold-h-sg itct-warmcold-cs-r3 itct-warmcold-cs-r7 itct-warmcold-cs-sg itct-comp-h-r3 itct-comp-h-r7 itct-comp-h-sg itct-comp-cs-r3 itct-comp-cs-r7 itct-comp-cs-sg
nirp_berchem_va_pc_2006bh7747 28.636892 39.581833 48.725967 52.813978 61.524487 67.548018 53.683309 62.673962 69.243821 55.119275 64.883653 72.421210 34.388200 9.637654 41.426996 23.701427 46.564418 25.097496 8.670595 3.133424 14.769976 27.168743 23.815998 25.567556 98.155754 152.358159 0 26.456556 72.253163 19
nirp_berchem_va_pc_2006bh7829 34.710374 46.466916 57.369147 54.926109 64.043391 66.804293 58.580260 65.908457 71.713841 61.970378 69.574443 75.786051 29.807488 19.895070 36.250369 22.860001 42.859605 26.604932 10.936360 1.927338 16.262522 10.926467 23.049212 22.371554 89.846078 145.584998 0 33.039302 99.645267 98
nirp_berchem_va_pc_2006bh7869 26.064496 39.288900 45.674100 49.105213 53.423368 57.124752 72.111511 80.120651 82.809058 77.219367 86.445437 89.355102 5.782447 4.437935 17.137522 27.305228 24.665480 27.429543 15.790131 5.020340 22.813258 26.360132 26.921104 26.124117 19.137533 65.515804 0 43.656124 81.786063 0
nirp_berchem_va_pc_2007bn5322 20.661069 24.895763 21.500262 35.938678 41.696067 43.740913 54.495478 61.163155 62.650773 72.527839 81.165427 83.441200 10.127659 26.946632 11.138967 27.140697 6.628982 20.466688 56.281852 23.178671 63.166440 24.377705 68.335089 25.323445 34.154250 46.341802 0 147.669264 179.974205 2316
nirp_berchem_va_pc_2007bn6050 46.348384 53.145344 60.270044 55.906437 60.777955 63.502649 48.513093 61.808312 66.420156 53.403306 70.246680 76.217375 18.709406 17.706221 25.760117 25.174571 30.685318 26.220079 17.161860 5.342541 30.492080 26.804601 37.491651 25.960891 60.061730 116.156798 0 51.012928 115.869430 243
nirp_berchem_va_pc_2007bp0859 5.421535 7.390399 6.943424 52.775022 57.724624 60.410250 64.021801 69.055412 72.532071 74.531006 80.242498 85.314239 7.706235 21.945908 8.597226 26.564745 6.217417 15.242910 38.165515 15.081494 42.644145 18.954672 52.639509 23.143052 24.153940 34.995718 0 114.857250 172.591629 1002
nirp_berchem_va_pc_2007bp0898 11.598357 15.109493 17.363850 39.895425 42.126738 43.597254 55.984788 58.656346 57.673034 73.798006 78.602003 80.226728 9.797427 15.349405 10.637010 21.311582 8.221138 20.414080 57.598988 11.345766 67.535647 22.002581 72.909502 24.248071 27.381860 42.043640 0 179.364368 179.656898 2526
nirp_berchem_va_pc_2007bp1122 22.587212 35.742628 37.895285 60.982335 67.492756 69.987789 65.913338 69.816922 73.808602 74.449454 79.269394 85.714947 20.715108 17.456693 27.180034 25.707831 27.021386 19.766761 30.291559 7.274126 47.266191 23.011321 57.672660 26.715865 63.705573 124.721680 0 85.076336 178.966174 1163
nirp_berchem_va_pc_2007bp1342 33.269640 39.222216 43.955491 27.650670 30.910393 32.348505 37.388064 40.863438 44.259249 54.232817 59.811666 66.357887 8.407290 26.791785 9.561503 26.468354 5.150272 18.985327 49.703574 15.142686 56.630307 24.661811 66.194463 26.613607 27.997853 43.401586 0 157.770979 179.023214 1404
nirp_botticelli_70_70 21.249947 26.331743 31.632970 16.374424 25.812877 36.806668 19.506708 35.471238 54.696523 31.062778 50.535975 75.056000 15.000968 20.598674 18.743098 27.428157 20.978106 27.463140 35.920365 12.597590 48.266000 24.084703 66.214163 26.171435 39.813375 65.668244 0 89.750856 159.826256 1252
nirp_botticelli_brm_bifa_43_10 28.391639 35.462496 54.085247 34.908794 41.382206 57.746214 34.087435 42.579654 58.199960 39.722549 50.064618 66.945698 31.568181 9.339203 41.665915 27.469620 56.254540 27.456134 29.901813 11.573922 41.163621 25.145198 58.424027 27.112706 96.550109 177.821781 174 99.943016 150.544679 1562
nirp_botticelli_k1659 37.629975 55.131450 69.083493 42.072904 57.574211 74.090962 38.641024 53.081734 69.118987 37.763678 54.036697 73.237254 15.679354 8.135633 26.611397 27.462517 32.673268 27.472870 20.806566 4.130995 31.395228 25.771091 45.092786 27.294765 52.744442 108.536943 0 63.530359 133.621036 110
nirp_botticelli_twcms_f6124 22.532425 35.864568 51.559246 25.295455 35.418371 45.484778 19.348980 37.901451 47.143599 22.162039 48.281314 60.943832 20.145218 1.625564 27.955456 23.268166 37.035445 27.459198 15.202670 6.129541 37.411241 26.847628 51.209809 27.025979 63.837528 109.425953 0 51.573115 159.035390 679
nirp_botticelli_twcms_g1941 41.950186 65.193628 79.768026 43.870492 68.695478 92.410138 31.135091 58.593747 83.443204 21.339826 52.584952 80.891993 15.321905 1.032973 26.005961 27.431688 34.808473 27.188843 42.304508 12.502658 65.437302 24.021940 83.999101 27.184269 50.431179 122.569666 2 130.197634 179.220870 1614
nirp_botticelli_va_pc_2006aj4912 35.266738 51.449821 67.161753 25.902835 34.142553 41.487780 21.682205 34.133596 48.447778 36.328515 54.603895 73.490229 16.809108 9.776186 25.632592 19.094201 36.793538 27.199531 46.592394 8.325931 63.408464 20.259794 81.023068 26.787413 47.984209 117.298978 52 138.822416 179.893305 2208
nirp_boudin_1_12 26.413766 38.004943 43.398425 16.762430 27.115185 30.759847 40.739182 49.695314 54.622901 41.133806 49.890472 54.726172 39.336254 16.550966 46.669694 27.075138 55.302116 27.118636 10.752865 21.849197 18.761288 27.373519 22.116966 26.244592 106.446003 146.692639 19 29.654614 97.875332 13
nirp_boudin_180 38.944733 47.459680 54.369396 60.818737 66.499338 69.263180 65.617385 71.600722 77.258260 63.299404 69.249214 74.508400 16.537800 14.694714 19.330097 27.484768 24.120096 27.418835 7.831530 13.333704 10.267442 27.110310 12.348187 27.146361 62.155373 96.020782 31 26.927658 46.357148 0
nirp_boudin_1977_653 16.692841 23.590793 26.871058 15.253745 20.004976 21.848111 31.046076 38.133687 46.196625 29.902911 37.121107 45.250790 17.630153 9.865647 37.638274 26.831922 49.064105 26.933720 4.947660 4.185947 9.703898 15.546444 14.183976 24.166899 64.128490 146.335777 82 16.046569 60.531118 0
nirp_boudin_1977_654 31.304314 40.549020 47.585882 38.411195 42.884287 45.470586 41.233809 47.907559 55.240125 35.786677 42.753647 50.615836 25.638660 9.739287 35.792895 20.279884 43.872948 25.350735 18.164252 11.741240 24.487165 22.470329 28.367993 26.973957 91.067586 137.901597 26 63.371867 126.771948 16
nirp_boudin_2378 50.486784 63.047951 72.436933 61.114995 76.849886 86.989370 38.911050 51.355403 60.534974 30.517297 41.189064 49.353061 42.587397 27.460670 58.087906 27.491731 71.401566 27.465329 48.283992 21.635820 58.356767 27.087064 63.546946 27.354799 113.120301 178.894433 116 143.540058 179.988940 420
nirp_boudin_2379 15.926264 27.129128 36.912197 17.048923 24.080031 26.733972 38.806649 48.136665 54.057686 38.311847 47.574767 51.162076 39.852551 23.490000 48.200307 27.249177 59.643957 27.453245 3.820030 3.717258 6.243568 21.841852 9.331624 26.394789 113.731606 152.470887 180 11.133147 28.880921 0
nirp_boudin_2916 17.392176 30.891467 47.257484 24.447137 35.662176 42.814958 26.414963 38.883849 46.060279 27.744592 41.661167 49.096268 41.158597 18.789145 55.382032 27.348411 68.450438 27.412621 13.338096 1.922360 21.437123 10.077343 29.320993 26.195201 124.160719 178.524556 617 36.953020 106.194171 458
nirp_boudin_352 35.231250 51.287732 59.700793 55.311832 62.785119 65.042873 62.197940 72.519729 75.916249 60.912286 70.974370 74.616525 6.019961 26.431899 7.204149 27.461361 8.345526 23.252590 18.462490 5.567599 23.872684 22.613201 20.314164 24.389896 21.402085 36.457357 0 55.211769 104.969179 27
